-0.4406880  0.3850928 -0.4845083  0.4481900  0.2966225 -0.1684179 -0.4807309 -0.1886126 -0.1551608 -0.0806152 
-0.4409885  0.3851864 -0.4843483  0.4483684  0.2970136 -0.1685109 -0.4806409 -0.1882147 -0.1547732 -0.0805785 
-0.4385023  0.3882201 -0.4850297  0.4499471  0.2977887 -0.1663691 -0.4780333 -0.1876410 -0.1541132 -0.0835026 
-0.4379033  0.3881429 -0.4848445  0.4501298  0.2979302 -0.1657232 -0.4776803 -0.1879607 -0.1551140 -0.0839781 
-0.4376328  0.3886002 -0.4853072  0.4503487  0.2972988 -0.1650692 -0.4780654 -0.1881807 -0.1557865 -0.0834370 
-0.4373859  0.3913906 -0.4833631  0.4535778  0.2951981 -0.1622820 -0.4760009 -0.1850336 -0.1533653 -0.0807275 
-0.4376385  0.3920078 -0.4835925  0.4540390  0.2956875 -0.1627377 -0.4765663 -0.1843878 -0.1537851 -0.0806901 
-0.4375171  0.3919189 -0.4836957  0.4541479  0.2957433 -0.1627589 -0.4765585 -0.1844639 -0.1536957 -0.0807562 
-0.4356103  0.3900520 -0.4831270  0.4548861  0.2944881 -0.1644071 -0.4774253 -0.1837835 -0.1523902 -0.0805380 
-0.4353380  0.3894610 -0.4825613  0.4545938  0.2950556 -0.1637824 -0.4784214 -0.1833220 -0.1513813 -0.0811073 
-0.4328295  0.3927249 -0.4790257  0.4556848  0.2940190 -0.1626531 -0.4778059 -0.1827205 -0.1484322 -0.0814328 
-0.4327041  0.3926229 -0.4789265  0.4559217  0.2940413 -0.1626090 -0.4780867 -0.1827421 -0.1485834 -0.0814789 
-0.4302301  0.3925316 -0.4817356  0.4563698  0.2954671 -0.1607129 -0.4756068 -0.1803552 -0.1499927 -0.0789979 
-0.4296745  0.3934780 -0.4804755  0.4573882  0.2968931 -0.1591473 -0.4740250 -0.1802710 -0.1502221 -0.0805023 
-0.4292139  0.3924587 -0.4802475  0.4584300  0.2984681 -0.1596442 -0.4748881 -0.1788944 -0.1489279 -0.0801416 
-0.4280281  0.3944422 -0.4824780  0.4561271  0.2955565 -0.1606363 -0.4779926 -0.1758095 -0.1479759 -0.0830197 
-0.4249859  0.3954521 -0.4829796  0.4526089  0.2936657 -0.1614300 -0.4768612 -0.1737388 -0.1514811 -0.0806246 
